,행정구역1,행정구역2,총인구수,남자인구수,여자인구수
89,경기도,수원시,1197220,602313,594907
90,경기도,장안구,270959,136151,134808
91,경기도,권선구,366306,185101,181205
92,경기도,팔달구,196921,99145,97776
93,경기도,영통구,363034,181916,181118
94,경기도,성남시,919856,455212,464644
95,경기도,수정구,236825,119944,116881
96,경기도,중원구,210369,106258,104111
97,경기도,분당구,472662,229010,243652
98,경기도,의정부시,463724,227907,235817
99,경기도,안양시,546078,269636,276442
100,경기도,만안구,230139,114885,115254
101,경기도,동안구,315939,154751,161188
102,경기도,부천시,778874,384980,393894
103,경기도,원미구,393826,193682,200144
104,경기도,소사구,229858,112904,116954
105,경기도,오정구,155190,78394,76796
106,경기도,광명시,279943,137331,142612
107,경기도,평택시,591878,310958,280920
108,경기도,송탄출장소,0,0,0
109,경기도,안중출장소,0,0,0
110,경기도,동두천시,88539,44123,44416
111,경기도,안산시,628374,321849,306525
112,경기도,상록구,333879,170228,163651
113,경기도,단원구,294495,151621,142874
114,경기도,고양시,1073751,523765,549986
115,경기도,덕양구,495660,243657,252003
116,경기도,일산동구,291491,141296,150195
117,경기도,일산서구,286600,138812,147788
118,경기도,과천시,81071,39685,41386
119,경기도,구리시,186846,92406,94440
120,경기도,남양주시,732472,363275,369197
121,경기도,풍양출장소,0,0,0
122,경기도,오산시,230108,119984,110124
123,경기도,시흥시,519306,270911,248395
124,경기도,군포시,260693,129295,131398
125,경기도,의왕시,158221,78516,79705
126,경기도,하남시,329688,164114,165574
127,경기도,용인시,1076859,534001,542858
128,경기도,처인구,261719,134372,127347
129,경기도,기흥구,437751,215786,221965
130,경기도,수지구,377389,183843,193546
131,경기도,파주시,499883,253229,246654
132,경기도,이천시,221693,115393,106300
133,경기도,안성시,189406,97965,91441
134,경기도,김포시,486026,242822,243204
135,경기도,화성시,946582,491662,454920
136,경기도,화성시동부출장소,0,0,0
137,경기도,화성시동탄출장소,0,0,0
138,경기도,광주시,391866,199833,192033
139,경기도,양주시,269658,136127,133531
140,경기도,포천시,143157,75787,67370
141,경기도,여주시,114336,58157,56179
142,경기도,연천군,41487,21738,19749
143,경기도,가평군,62274,32087,30187
144,경기도,양평군,125381,62806,62575
145,강원특별자치도,소계,1526243,767496,758747
146,강원특별자치도,춘천시,286168,141281,144887
147,강원특별자치도,원주시,361498,179007,182491
148,강원특별자치도,강릉시,209174,103616,105558
149,강원특별자치도,동해시,88591,45007,43584
150,강원특별자치도,태백시,38613,19464,19149
151,강원특별자치도,속초시,82021,40606,41415
152,강원특별자치도,삼척시,62309,31645,30664
153,강원특별자치도,홍천군,67348,34685,32663
154,강원특별자치도,횡성군,46265,23785,22480
155,강원특별자치도,영월군,37260,19264,17996
156,강원특별자치도,평창군,40642,21054,19588
157,강원특별자치도,정선군,34139,17813,16326
158,강원특별자치도,철원군,41319,21395,19924
159,강원특별자치도,화천군,22942,12282,10660
160,강원특별자치도,양구군,20975,10994,9981
161,강원특별자치도,인제군,32004,17421,14583
162,강원특별자치도,고성군,27294,14008,13286
163,강원특별자치도,양양군,27681,14169,13512
164,충청북도,소계,1592155,809830,782325
165,충청북도,청주시,851951,430319,421632
166,충청북도,상당구,200726,99728,100998
167,충청북도,서원구,186023,92576,93447
168,충청북도,흥덕구,274643,139904,134739
169,충청북도,청원구,190559,98111,92448
170,충청북도,충주시,207761,105446,102315
171,충청북도,제천시,129852,65296,64556
172,충청북도,보은군,30950,15654,15296
173,충청북도,옥천군,48863,24694,24169
174,충청북도,영동군,44120,22138,21982
175,충청북도,증평군,37499,19531,17968
176,충청북도,진천군,86065,45547,40518
177,충청북도,괴산군,36438,18800,17638
178,충청북도,음성군,90976,48329,42647
179,충청북도,단양군,27680,14076,13604
180,충청남도,소계,2130509,1092059,1038450
181,충청남도,천안시,655791,336124,319667
182,충청남도,동남구,257698,130601,127097
183,충청남도,서북구,398093,205523,192570
184,충청남도,공주시,101906,50861,51045
185,충청남도,보령시,95564,48365,47199
186,충청남도,아산시,347243,181007,166236
187,충청남도,서산시,175894,92055,83839
188,충청남도,논산시,110336,55167,55169
189,충청남도,계룡시,46716,23333,23383
190,충청남도,당진시,170353,91074,79279
191,충청남도,금산군,50025,25353,24672
192,충청남도,부여군,60869,30324,30545
193,충청남도,서천군,49037,24220,24817
194,충청남도,청양군,30013,15359,14654
195,충청남도,홍성군,97721,48794,48927
196,충청남도,예산군,78310,39283,39027
197,충청남도,태안군,60731,30740,29991
198,전북특별자치도,소계,1752921,872493,880428
199,전북특별자치도,전주시,641908,315293,326615
200,전북특별자치도,완산구,326737,158715,168022
201,전북특별자치도,덕진구,315171,156578,158593
202,전북특별자치도,군산시,259668,131543,128125
203,전북특별자치도,익산시,269429,134107,135322
204,전북특별자치도,정읍시,103590,51612,51978
205,전북특별자치도,남원시,76664,37614,39050
206,전북특별자치도,김제시,81376,40629,40747
207,전북특별자치도,완주군,98272,50377,47895
208,전북특별자치도,진안군,24455,12493,11962
209,전북특별자치도,무주군,23223,11622,11601
210,전북특별자치도,장수군,20951,10515,10436
211,전북특별자치도,임실군,25884,13331,12553
212,전북특별자치도,순창군,26744,13136,13608
213,전북특별자치도,고창군,51701,25802,25899
214,전북특별자치도,부안군,49056,24419,24637
215,전라남도,소계,1802672,908705,893967
216,전라남도,목포시,213983,106310,107673
217,전라남도,여수시,271413,138189,133224
218,전라남도,순천시,277950,138728,139222
219,전라남도,나주시,117262,59209,58053
220,전라남도,광양시,152853,80012,72841
221,전라남도,담양군,45272,22899,22373
222,전라남도,곡성군,26844,13335,13509
223,전라남도,구례군,24277,11871,12406
224,전라남도,고흥군,61057,29849,31208
225,전라남도,보성군,37619,18435,19184
226,전라남도,화순군,61177,30278,30899
227,전라남도,장흥군,34950,17084,17866
228,전라남도,강진군,32718,15961,16757
229,전라남도,해남군,64444,32195,32249
230,전라남도,영암군,52331,27359,24972
231,전라남도,무안군,90338,45440,44898
232,전라남도,함평군,30523,15469,15054
233,전라남도,영광군,51670,25849,25821
234,전라남도,장성군,42479,21842,20637
235,전라남도,완도군,46530,23453,23077
236,전라남도,진도군,28938,14413,14525
237,전라남도,신안군,38044,20525,17519
238,경상북도,소계,2551370,1288999,1262371
239,경상북도,포항시,492949,250223,242726
240,경상북도,남구,226165,117480,108685
241,경상북도,북구,266784,132743,134041
242,경상북도,경주시,247124,123726,123398
243,경상북도,김천시,137247,68997,68250
244,경상북도,안동시,152751,75440,77311
245,경상북도,구미시,405518,209132,196386
246,경상북도,영주시,100100,49727,50373
247,경상북도,영천시,100110,51133,48977
248,경상북도,상주시,93645,46064,47581
249,경상북도,문경시,68529,33643,34886
250,경상북도,경산시,265801,133593,132208
251,경상북도,의성군,49882,24728,25154
252,경상북도,청송군,24034,12061,11973
253,경상북도,영양군,15642,7807,7835
254,경상북도,영덕군,33982,16227,17755
255,경상북도,청도군,41267,20461,20806
256,경상북도,고령군,30025,15436,14589
257,경상북도,성주군,42038,21982,20056
258,경상북도,칠곡군,110299,57844,52455
259,경상북도,예천군,55304,27216,28088
260,경상북도,봉화군,29531,15043,14488
261,경상북도,울진군,46561,23497,23064
262,경상북도,울릉군,9031,5019,4012
263,경상남도,소계,3248703,1636010,1612693
264,경상남도,창원시,1008228,510299,497929
265,경상남도,의창구,212927,108307,104620
266,경상남도,성산구,244866,124898,119968
267,경상남도,마산합포구,179158,88958,90200
268,경상남도,마산회원구,180296,89904,90392
269,경상남도,진해구,190981,98232,92749
270,경상남도,진주시,340520,168126,172394
271,경상남도,통영시,120327,60424,59903
272,경상남도,사천시,109073,55167,53906
273,경상남도,사천남양출장소,0,0,0
274,경상남도,김해시,533710,269806,263904
275,경상남도,장유출장소,0,0,0
276,경상남도,밀양시,101956,50321,51635
277,경상남도,거제시,233930,122508,111422
278,경상남도,양산시,355347,177750,177597
279,경상남도,양산시웅상출장소,0,0,0
280,경상남도,의령군,25440,12669,12771
281,경상남도,함안군,60077,30784,29293
282,경상남도,창녕군,57003,28498,28505
283,경상남도,고성군,49306,24898,24408
284,경상남도,남해군,40699,19797,20902
285,경상남도,하동군,41486,20756,20730
286,경상남도,산청군,33723,16739,16984
287,경상남도,함양군,36873,17894,18979
288,경상남도,거창군,59909,29480,30429
289,경상남도,합천군,41096,20094,21002
290,제주특별자치도,소계,674353,337578,336775
291,제주특별자치도,제주시,490888,245197,245691
292,제주특별자치도,서귀포시,183465,92381,91084
