시도,시군구,기관유형,상위 보건기관명,보건기관명,주소,읍면동명,도서지역 여부,대표 전화번호
충청북도,청주시 흥덕구,보건진료소,청주시흥덕보건소,소로보건진료소,충청북도 청주시 흥덕구 옥산면 소로1길 68 소로보건진료소,옥산면,아니오,043-201-3697
충청북도,청주시 흥덕구,보건진료소,청주시흥덕보건소,강내면태성보건진료소,충청북도 청주시 흥덕구 강내면 태성2길 9-39 (태성보건진료소) 태성보건진료소,강내면,아니오,043-201-3694
충청북도,청주시 흥덕구,보건진료소,청주시흥덕보건소,호죽보건진료소,충청북도 청주시 흥덕구 옥산면 오산가좌로 432-4 호죽보건진료소,옥산면,아니오,043-201-3698
충청북도,청주시 흥덕구,보건소,청주시흥덕보건소,청주시흥덕보건소,"충청북도 청주시 흥덕구 대농로 88 (복대동, 흥덕보건소 본관) 흥덕보건소",복대1동,아니오,043-201-3580
충청북도,청주시 흥덕구,일반보건지소,청주시흥덕보건소,강서보건지소,"충청북도 청주시 흥덕구 비하로12번길 46 (비하동, 강서보건지소) 강서보건지소",비하동,아니오,043-201-3587
충청북도,청주시 청원구,일반보건지소,청주시청원보건소,내수보건지소,충청북도 청주시 청원구 내수읍 마산3길 49 (내수읍사무소) 내수보건지소,내수읍,아니오,043-201-3643
충청북도,청주시 청원구,일반보건지소,청주시청원보건소,북이보건지소,충청북도 청주시 청원구 북이면 신대석성로 10 북이보건지소,북이면,아니오,043-201-3670
충청북도,청주시 청원구,일반보건지소,청주시청원보건소,오창보건지소,충청북도 청주시 청원구 오창읍 두릉유리로 1137-1 (오창읍사무소) 오창보건지소,오창읍,아니오,043-201-3652
충청북도,청주시 청원구,보건진료소,청주시청원보건소,석성보건진료소,충청북도 청주시 청원구 북이면 용계1길 77 석성보건진료소,북이면,아니오,043-201-3703
충청북도,청주시 청원구,보건진료소,청주시청원보건소,영하보건진료소,충청북도 청주시 청원구 북이면 영하길 5 영하보건진료소,북이면,아니오,043-201-3704
충청북도,청주시 청원구,보건진료소,청주시청원보건소,유리보건진료소,충청북도 청주시 청원구 오창읍 일신길 9 (오창유리보건진료소) ,오창읍,아니오,043-201-3702
충청북도,청주시 청원구,보건진료소,청주시청원보건소,가좌보건진료소,충청북도 청주시 청원구 오창읍 오창가좌1길 47 가좌보건진료소,오창읍,아니오,043-201-3701
충청북도,청주시 청원구,보건진료소,청주시청원보건소,추학보건진료소,충청북도 청주시 청원구 북이면 용계내추로 362 추학보건진료소,북이면,아니오,043-201-3705
충청북도,청주시 청원구,보건진료소,청주시청원보건소,탑리보건진료소,충청북도 청주시 청원구 오창읍 탑리길 21-4 탑리보건진료소,오창읍,아니오,043-201-3700
충청북도,청주시 청원구,보건진료소,청주시청원보건소,오근장보건진료소,"충청북도 청주시 청원구 팔결로 121-1 (오동동, 오근장보건진료소) ",오동동,아니오,043-201-3699
충청북도,청주시 청원구,보건소,청주시청원보건소,청주시청원보건소,충청북도 청주시 청원구 오창읍 과학산업3로 238 (청원구 보건소) ,오창읍,아니오,043-201-3412
충청북도,충주시,보건소,충주시보건소,충주시보건소,"충청북도 충주시 사직산21길 34 (문화동, 충주시 건강복지타운), 충주시 보건소 .",문화동,아니오,043-850-3415
충청북도,충주시,일반보건지소,충주시보건소,금가보건지소,"충청북도 충주시 금가면 강수로 331 (금가면사무소,금가보건지소) .",금가면,아니오,043-850-4952
충청북도,충주시,일반보건지소,충주시보건소,노은보건지소,"충청북도 충주시 노은면 연하중앙길 15, 면사무소 (노은면사무소,노은보건지소) .",노은면,아니오,043-850-4924
충청북도,충주시,일반보건지소,충주시보건소,동량보건지소,"충청북도 충주시 동량면 조돈안길 1, 면사무소 (동량면사무소,동량보건지소) .",동량면,아니오,043-850-4961
충청북도,충주시,일반보건지소,충주시보건소,산척보건지소,"충청북도 충주시 산척면 동산로 736, 면사무소 (산척면사무소,산척보건지소) .",산척면,아니오,043-850-4971
충청북도,충주시,일반보건지소,충주시보건소,살미보건지소,"충청북도 충주시 살미면 세성양지말길 41, 면사무소 (살미면사무소,살미보건지소) .",살미면,아니오,043-850-4481
충청북도,충주시,일반보건지소,충주시보건소,수안보보건지소,충청북도 충주시 수안보면 관동길 9-9 (수안보면사무소) 수안보보건지소,수안보면,아니오,043-850-4493
충청북도,충주시,일반보건지소,충주시보건소,신니보건지소,충청북도 충주시 신니면 안용원로 7 (신니보건지소) .,신니면,아니오,043-850-4915
충청북도,충주시,일반보건지소,충주시보건소,앙성보건지소,충청북도 충주시 앙성면 내용1길 8 (앙성보건지소) .,앙성면,아니오,043-850-4932
충청북도,충주시,일반보건지소,충주시보건소,엄정보건지소,충청북도 충주시 엄정면 내창로 229 (엄정보건지소) .,엄정면,아니오,043-850-4983
충청북도,충주시,일반보건지소,충주시보건소,대소원보건지소,"충청북도 충주시 대소원면 대소원1길 29, 면사무소 (대소원면사무소,대소원보건지소) .",대소원면,아니오,043-850-4901
충청북도,충주시,일반보건지소,충주시보건소,주덕보건지소,충청북도 충주시 주덕읍 신덕로 1359 (주덕읍사무소) 주덕보건지소,주덕읍,아니오,043-850-4472
충청북도,충주시,일반보건지소,충주시보건소,중앙탑보건지소,충청북도 충주시 중앙탑면 중앙탑길 247 (중앙탑면사무소) 중앙탑보건지소,중앙탑면,아니오,043-850-4941
충청북도,충주시,일반보건지소,충주시보건소,소태보건지소,"충청북도 충주시 소태면 쟁골1길 1, 보건소 (소태면사무소,소태보건지소) .",소태면,아니오,043-850-4992
충청북도,충주시,보건진료소,충주시보건소,개천안보건진료소,충청북도 충주시 동량면 호반로 371-14 (개천안보건진료소) .,동량면,아니오,043-850-4968
충청북도,충주시,보건진료소,충주시보건소,대사보건진료소,충청북도 충주시 수안보면 사문한절2길 6 (대사보건진료소) .,수안보면,아니오,043-850-4498
충청북도,충주시,보건진료소,충주시보건소,대전보건진료소,충청북도 충주시 동량면 내동1길 19 (대전보건진료소) .,동량면,아니오,043-850-4977
충청북도,충주시,보건진료소,충주시보건소,동락보건진료소,충청북도 충주시 신니면 동락길 49 (신니동락보건진료소) .,신니면,아니오,043-850-4918
충청북도,충주시,보건진료소,충주시보건소,매현보건진료소,충청북도 충주시 대소원면 매현새터2길 3 (매현보건진료소) .,대소원면,아니오,043-850-4968
충청북도,충주시,보건진료소,충주시보건소,명서보건진료소,충청북도 충주시 산척면 인등로 585-6 (명서보건진료소) .,산척면,아니오,043-850-4978
충청북도,충주시,보건진료소,충주시보건소,문산보건진료소,충청북도 충주시 살미면 문산길 29 (문산보건진료소) .,살미면,아니오,043-850-4488
충청북도,충주시,보건진료소,충주시보건소,복탄보건진료소,충청북도 충주시 소태면 덕은로 756 (복탄보건진료소) .,소태면,아니오,043-850-4998
충청북도,충주시,보건진료소,충주시보건소,수룡보건진료소,충청북도 충주시 노은면 원모롱이길 19 (수룡보건진료소) .,노은면,아니오,043-850-4928
충청북도,충주시,보건진료소,충주시보건소,안락보건진료소,충청북도 충주시 노은면 대덕길 26 (안락보건진료소) .,노은면,아니오,043-850-4927
충청북도,충주시,보건진료소,충주시보건소,앙암보건진료소,충청북도 충주시 앙성면 앙암로 679 (앙암보건진료소) .,앙성면,아니오,043-850-4938
충청북도,충주시,보건진료소,충주시보건소,오석보건진료소,충청북도 충주시 금가면 김생로 750 (오석보건진료소) .,금가면,아니오,043-850-4958
충청북도,충주시,보건진료소,충주시보건소,장록보건진료소,충청북도 충주시 주덕읍 장록당우길 304 .,주덕읍,아니오,043-850-4478
충청북도,충주시,보건진료소,충주시보건소,추평보건진료소,충청북도 충주시 엄정면 가춘리길 65 (추평보건진료소) .,엄정면,아니오,043-850-4988
충청북도,충주시,보건진료소,충주시보건소,가흥보건진료소,충청북도 충주시 중앙탑면 창말고개길 2 (가흥보건진료소) .,중앙탑면,아니오,043-850-4957
충청북도,충주시,보건진료소,충주시보건소,공이보건진료소,충청북도 충주시 살미면 공이동길 508-22 (공이보건진료소) .,살미면,아니오,043-850-4487
충청북도,제천시,보건소,제천시보건소,제천시보건소,충청북도 제천시 의림대로 242 (청전동) ,청전동,아니오,043-646-2720
충청북도,제천시,일반보건지소,제천시보건소,덕산보건지소,"충청북도 제천시 덕산면 약초로 80, 덕산면 보건지소A동 (덕산보건지소) 덕산보건지소",덕산면,아니오,043-641-3100
충청북도,제천시,일반보건지소,제천시보건소,백운보건지소,충청북도 제천시 백운면 애련로 13 백운보건지소,백운면,아니오,043-641-3130
충청북도,제천시,일반보건지소,제천시보건소,봉양보건지소,"충청북도 제천시 봉양읍 주포로8길 3-1 (봉양도서관,보건지소) ",봉양읍,아니오,043-641-3060
충청북도,제천시,일반보건지소,제천시보건소,송학보건지소,충청북도 제천시 송학면 시곡포전로2길 3 (송학면 보건지소) ,송학면,아니오,043-641-3140
충청북도,제천시,일반보건지소,제천시보건소,수산보건지소,충청북도 제천시 수산면 월악로22길 102-26 (수산보건지소) ,수산면,아니오,043-641-3090
충청북도,제천시,일반보건지소,제천시보건소,금성보건지소,충청북도 제천시 금성면 청풍호로 1002 (금성면보건지소) ,금성면 ,아니오,043-641-3070
충청북도,제천시,일반보건지소,제천시보건소,청풍보건지소,충청북도 제천시 청풍면 청풍호로56길 23 (청풍면보건소) ,청풍면,아니오,043-641-3080
충청북도,제천시,일반보건지소,제천시보건소,한수보건지소,충청북도 제천시 한수면 미륵송계로8길 23 (한수보건지소) ,한수면,아니오,043-641-3120
충청북도,제천시,건강생활지원센터,제천시보건소,용두건강생활지원센터,"충청북도 제천시 용두대로17길 8 (하소동), 건강생활지원센터 ",용두동,아니오,043-641-3043
충청북도,제천시,보건진료소,제천시보건소,대전보건진료소,충청북도 제천시 수산면 인삼로 531 (대전보건진료소) ,수산면,아니오,043-641-3267
충청북도,제천시,보건진료소,제천시보건소,도기보건진료소,충청북도 제천시 덕산면 도기길 49 (도기보건진료소) 도기보건진료소,덕산면,아니오,043-641-3268
충청북도,제천시,보건진료소,제천시보건소,도전보건진료소,충청북도 제천시 수산면 오티로 276 (도전보건진료소) ,수산면,아니오,043-641-3266
충청북도,제천시,보건진료소,제천시보건소,마곡보건진료소,충청북도 제천시 봉양읍 국사봉로7길 15 (마곡보건진료소) ,봉양읍,아니오,043-641-3263
충청북도,제천시,보건진료소,제천시보건소,송한보건진료소,충청북도 제천시 송학면 송한2길 6 ,송학면,아니오,043-641-3271
충청북도,제천시,보건진료소,제천시보건소,양화보건진료소,충청북도 제천시 금성면 청풍호로27길 9 (양화보건지소) ,금성면,아니오,043-641-3264
충청북도,제천시,보건진료소,제천시보건소,옥전보건진료소,충청북도 제천시 봉양읍 옥전길 34 (옥전보건진료소) ,봉양읍,아니오,043-641-3261
충청북도,제천시,보건진료소,제천시보건소,월악보건진료소,충청북도 제천시 덕산면 월악산로4길 31 ,덕산면,아니오,043-641-3269
충청북도,제천시,보건진료소,제천시보건소,장선보건진료소,충청북도 제천시 청풍면 인등로 1497 ,청풍면,아니오,043-641-3265
충청북도,제천시,보건진료소,제천시보건소,공전보건진료소,충청북도 제천시 봉양읍 의암로4길 18 (공전보건지료소) ,봉양읍,아니오,043-641-3262
충청북도,제천시,보건진료소,제천시보건소,화당보건진료소,충청북도 제천시 백운면 화당로2길 15 (화당보건진료소) ,백운면,아니오,043-641-3270
충청북도,보은군,보건소,보은군보건소,보은군보건소,충청북도 보은군 보은읍 동광길 50 (보은군보건소) 보은군보건소,보은읍,아니오,043-540-5602
충청북도,보은군,일반보건지소,보은군보건소,속리산보건지소,충청북도 보은군 속리산면 법주사로 248-22 (속리산면보건지소) ,속리산면,아니오,043-543-3943
충청북도,보은군,통합보건지소,보은군보건소,동부통합보건지소,충청북도 보은군 마로면 관기송현로 65 (동부통합보건지소) ,마로면,아니오,043-542-2697
충청북도,보은군,일반보건지소,보은군보건소,내북보건지소,충청북도 보은군 내북면 남부로 6239 (내북면보건지소) ,내북면,아니오,043-542-0379
충청북도,보은군,통합보건지소,보은군보건소,회인면보건지소,충청북도 보은군 회인면 회인로 48-7 (서부통합보건지소) ,회인면,아니오,043-542-9010
충청북도,보은군,일반보건지소,보은군보건소,산외보건지소,충청북도 보은군 산외면 구티1길 19-5 (산외면보건지소) ,산외면,아니오,043-542-4075
충청북도,보은군,일반보건지소,보은군보건소,삼승보건지소,"충청북도 보은군 삼승면 원남로1길 39, 삼승면보건지소 (삼승면보건지소) ",삼승면,아니오,043-542-6462
